凸予定シート,,,,,,,
完了,送信者のメッセージid,キャルのメッセージid,メンバー,プレイヤーid,ボス番号,ボス名,メッセージ
1,770018493717282847,770018498130083881,smicle(スマイル),420084355105423367,d,オブシダンワイバーン,ワンパン 物理
1,770026239699714109,770026242338455614,しろはのぱんつ,562247481413468180,a,ゴブリングレート,ワンパン
1,770026312017510451,770026315033346089,smicle(スマイル),420084355105423367,e,レサトパルト,ワンパン
1,770026352354787368,770026355182010408,しろはのぱんつ,562247481413468180,b,ライライ,ワンパン
1,770027392793837619,770027395751084052,smicle(スマイル),420084355105423367,a,ゴブリングレート,test
1,770030238687297598,770030241212268654,smicle(スマイル),420084355105423367,d,オブシダンワイバーン,ワンパン 魔法
1,770034217101951006,770034220310855700,SAMURAI,458652362832084994,a,ゴブリングレート,にゃる
1,770034385575084033,770034388254720101,SAMURAI,458652362832084994,b,ライライ,にゃる
1,770034411831689256,770034414188363817,うさまる,652747597739589632,e,レサトパルト,ワンパン
1,770035028498710570,770035031514808381,しろはのぱんつ,562247481413468180,e,レサトパルト,ワンパン
1,770045378623963207,770045382067224576,SAMURAI,458652362832084994,d,オブシダンワイバーン,ワンパン
1,770047487384748052,770047489776418850,SAMURAI,458652362832084994,c,オークチーフ,ワンパン
1,770096914947244072,770096918666805259,厚着下着まざらし,341239349997993984,c,オークチーフ,ワンパン 2段階目、空いていたら
1,770131623055196161,770131627048566834,いもちゃ,189264376388255744,a,ゴブリングレート,",2 通し"
1,770132847699820574,770132851575488522,EnNE4,388955796454506500,c,オークチーフ,ワンパン
1,770141983854821396,770141987608199168,EnNE4,388955796454506500,c,オークチーフ,ワンパン
1,770177318211026955,770177323097915392,あお,257537511868465153,d,オブシダンワイバーン,持ち越し120万
1,770203307368513536,770203310384087067,ゼロ(せらの),661558311287652354,b,ライライ,600~ワンパン
1,770213172099285012,770213175051419648,ゼロ(せらの),661558311287652354,a,ゴブリングレート,ワンパン
1,770216376962383893,770216379831549952,ぴかち,500590872048697344,c,オークチーフ,ワンパン
1,770216525989937162,770216528372170773,厚着下着まざらし,341239349997993984,e,レサトパルト,1200くらい
1,770216602729447427,770216604675604511,厚着下着まざらし,341239349997993984,e,レサトパルト,1200くらい持ち越し
1,770227615738757122,770227618645409792,ぴかち,500590872048697344,a,ゴブリングレート,ワンパン(ライライ含む)
1,770232544997670923,770232548815011870,みみな(プリンセス),603834473041362944,e,レサトパルト,1500万〜運が良ければワンパン
1,770233556424982540,770233560216371200,みみな(プリンセス),603834473041362944,c,オークチーフ,ワンパン
1,770234495584174091,770234499170435083,たかや@基本フルオート希望,322226212464230400,d,オブシダンワイバーン,980 魔法後半型
1,770234829773602816,770234832579067944,おのか,658087140642783252,a,ゴブリングレート,ワンパン(&ライライも)
1,770243285788393494,770243290209189898,いもちゃ,189264376388255744,a,ゴブリングレート,ゴブ ワンパン ×2 21時~25時は不在です ゴブリンにどなたか持ち越し吐いてもらえればライライまで行けます
1,770265816984977453,770265820965371955,あお,257537511868465153,e,レサトパルト,1400万前後 まざらしさんと同時凸して持ち越し持つ予定
1,770270444301189160,770270449258594324,さいとう,340675991301128192,c,オークチーフ,ニャルワンパン予定(保険で同時凸要員も可
1,770272118855827486,770272123208990721,エーイチ,580724415210323968,d,オブシダンワイバーン,物理1400
1,770272462683504650,770272466047074345,ジャハド,661543389581279242,e,レサトパルト,1100~1200物理
1,770272909809156117,770272913521246258,sakadaka,538639387471249409,a,ゴブリングレート,ワンパン
1,770272982546251836,770272985415811093,sakadaka,538639387471249409,b,ライライ,1の持ち越しでワンパン
1,770278597507285083,770278600258617367,ジャハド,661543389581279242,c,オークチーフ,にゃるワンパン予定
1,770283464116142120,770283467921293322,さいとう,340675991301128192,d,オブシダンワイバーン,1100~1200物理(とりあえず止まらないように埋め
1,770283708463972382,770283711345328149,EnNE4,388955796454506500,a,ゴブリングレート,2貫通
1,770296593118789653,770296596331102208,まろ,436517654535340032,a,ゴブリングレート,2貫通ニャル(または3ワンパン)
1,770296674265595955,770296680729542669,まろ,436517654535340032,c,オークチーフ,"ワンパン(または1,2貫通)"
1,770299715819405312,770299719829815306,sakadaka,538639387471249409,e,レサトパルト,1100
1,770302901096022016,770302904845991956,Canon,385069644052168715,d,オブシダンワイバーン,上振れ1000
1,770303357217931315,770303360460259348,エーイチ,580724415210323968,a,ゴブリングレート,物理ワンパン 2通し
1,770304168505376848,770304172322586624,おのか,658087140642783252,e,レサトパルト,1350〜1500 何時でもokです
1,770307014978043974,770307019320066068,おあり,324961936292708354,a,ゴブリングレート,物理ワンパン ライライまで
1,770320938495246428,770320945851400202,エーイチ,580724415210323968,e,レサトパルト,ニャル1000万
1,770322998011101245,770323003442462780,名無し(りえりー),257882449185472515,a,ゴブリングレート,2 ワンパン
1,770323062343467039,770323065728925747,名無し(りえりー),257882449185472515,c,オークチーフ,ワンパン
1,770323129188614144,770323132589801542,名無し(りえりー),257882449185472515,e,レサトパルト,1300万
1,770327401887694869,770327407890137148,sakadaka,538639387471249409,d,オブシダンワイバーン,1000前後
1,770334597903941662,770334600793948171,りん,703857608053882972,d,オブシダンワイバーン,1300弱
1,770335044027154472,770335047022411776,りん,703857608053882972,e,レサトパルト,1300弱
1,770335219827343430,770335223443095622,りん,703857608053882972,a,ゴブリングレート,2 貫通ワンパン可能
1,770335242207756328,770335245819052032,さいとう,340675991301128192,c,オークチーフ,ワンパン
1,770336863961219112,770336869266751539,名無し(りえりー),257882449185472515,d,オブシダンワイバーン,1300
1,770342587743076463,770342592352354334,名無し(りえりー),257882449185472515,d,オブシダンワイバーン,持ち越し 800
