凸予定シート,,,,,,,
完了,送信者のメッセージid,キャルのメッセージid,メンバー,プレイヤーid,ボス番号,ボス名,メッセージ
1,770622217083420713,770622220598378527,sakadaka,538639387471249409,e,レサトパルト,ニャル 1200-1300
1,770630979411771402,770630982075154432,エーイチ,580724415210323968,d,オブシダンワイバーン,物理フル持越し1400 3段階で🙏
1,770636529570676777,770636532397768736,おあり,324961936292708354,c,オークチーフ,ワンパン
1,770648179120668732,770648187731836959,みみな(プリンセス),603834473041362944,a,ゴブリングレート,物理 事故るかも
1,770652170558898186,770652173687586847,シルバー,646680124837855233,b,ライライ,物理 1000
1,770661479212253214,770661481749413935,おのか,658087140642783252,e,レサトパルト,1050〜1100
1,770662026690691102,770662029262192682,抹茶ですよ,551525921660731396,a,ゴブリングレート,餅もっち1300
1,770667153250189322,770667156517552138,さいとう,340675991301128192,e,レサトパルト,900
1,770667672266473482,770667674757103616,おあり,324961936292708354,d,オブシダンワイバーン,1000
1,770668463722856520,770668466969641021,おのか,658087140642783252,d,オブシダンワイバーン,1100
1,770670361003425792,770670365517152266,さいとう,340675991301128192,a,ゴブリングレート,1100
1,770670398085529681,770670399931285545,さいとう,340675991301128192,b,ライライ,1000
1,770671194352517132,770671198307614780,シルバー,646680124837855233,b,ライライ,持ち越し 200
1,770677647843786752,770677664943439883,みみな(プリンセス),603834473041362944,b,ライライ,1000万前後
1,770677736696053773,770677740172476477,みみな(プリンセス),603834473041362944,d,オブシダンワイバーン,1000万前後
1,770686351808135238,770686354488950814,まろ,436517654535340032,c,オークチーフ,持ち越し41s 400ほど
1,770690169169903665,770690172232007700,アキラ,486045349211799552,b,ライライ,持ち越し500万
1,770691569946066985,770691573020885014,さいとう,340675991301128192,b,ライライ,1000
1,770691586291662868,770691590435373066,おのか,658087140642783252,b,ライライ,1100
1,770699396303683634,770699399667777536,まろ,436517654535340032,e,レサトパルト,持ち越し 200弱
1,770704200563687474,770704203525259314,あお,257537511868465153,e,レサトパルト,900万前後
1,770709108625899520,770709111049682954,名無し(りえりー),257882449185472515,a,ゴブリングレート,1000
1,770709141747924992,770709143966580736,名無し(りえりー),257882449185472515,c,オークチーフ,900
1,770714774245212220,770714776825102347,りん,703857608053882972,d,オブシダンワイバーン,850
