凸予定シート,,,,,,,
完了,送信者のメッセージid,キャルのメッセージid,メンバー,プレイヤーid,ボス番号,ボス名,メッセージ
1,770738689705377822,770738691811180612,SAMURAI,458652362832084994,a,ゴブリングレート,1200
1,770740581516574810,770740584402255913,うさまる,652747597739589632,b,ライライ,400(端数)
1,770751183076720691,770751186633883698,ゼロ(せらの),661558311287652354,d,オブシダンワイバーン,850~950
1,770751403140055110,770751405744324628,SAMURAI,458652362832084994,a,ゴブリングレート,800〜900
1,770752348132868186,770752351387910184,SAMURAI,458652362832084994,a,ゴブリングレート,900〜1000
1,770756104275230751,770756106724179978,ゼロ(せらの),661558311287652354,a,ゴブリングレート,900~1000
1,770766310329810944,770766314221993986,しろはのぱんつ,562247481413468180,b,ライライ,1000
1,770768447160057866,770768450469232641,しろはのぱんつ,562247481413468180,c,オークチーフ,1000
1,770770080103268393,770770083701063740,smicle(スマイル),420084355105423367,d,オブシダンワイバーン,700 魔法
1,770770192472473631,770770195164823573,しろはのぱんつ,562247481413468180,a,ゴブリングレート,1000~1200
1,770781015266295848,770781018008846346,smicle(スマイル),420084355105423367,b,ライライ,900 物理
1,770781036787007498,770781039168585729,SAMURAI,458652362832084994,c,オークチーフ,700
1,770806656199032872,770806658632515605,smicle(スマイル),420084355105423367,b,ライライ,持ち越し 350
1,770809540613636096,770809543650967564,ゼロ(せらの),661558311287652354,a,ゴブリングレート,持ち越し 750~950
1,770821672945188905,770821677617643544,smicle(スマイル),420084355105423367,d,オブシダンワイバーン,700 魔法
1,770850311949647903,770850315519131670,ゼロ(せらの),661558311287652354,c,オークチーフ,550〜800 ニャル 事故る&下振れ可能性大
1,770850594805645322,770850598555615242,EnNE4,388955796454506500,a,ゴブリングレート,900~1200
1,770864646990069811,770864653739491338,ジャハド,661543389581279242,a,ゴブリングレート,900
1,770867518508105748,770867522211545098,ジャハド,661543389581279242,b,ライライ,900
1,770872538263060520,770872543585894410,かえで,342555706244857882,b,ライライ,1000
1,770872581569380362,770872585406775296,かえで,342555706244857882,e,レサトパルト,800
1,770876092508274689,770876099999301643,かえで,342555706244857882,d,オブシダンワイバーン,600
1,770885308543008768,770885312430866472,りん,703857608053882972,b,ライライ,1000万
1,770885474764062730,770885478639468554,りん,703857608053882972,d,オブシダンワイバーン,1000万
1,770885569437368331,770885573699043339,りん,703857608053882972,e,レサトパルト,1000万
1,770885881614827530,770885885914906634,jun,474418827250106371,d,オブシダンワイバーン,580〜600
1,770887747984162826,770887753797468201,かえで,342555706244857882,c,オークチーフ,300 持ち越し
1,770891459712516096,770891463923073036,EnNE4,388955796454506500,d,オブシダンワイバーン,持ち越し100
1,770910432684802060,770910439969914880,いもちゃ,189264376388255744,a,ゴブリングレート,1000
1,770910451671498772,770910469065932830,いもちゃ,189264376388255744,b,ライライ,700
1,770910525840293888,770910529513848853,いもちゃ,189264376388255744,d,オブシダンワイバーン,魔法650
1,770916147196723221,770916152859557891,たかや@基本フルオート希望,322226212464230400,c,オークチーフ,持ち越し 49s 410前後
1,770918298850164757,770918303878479872,ゼロ(せらの),661558311287652354,b,ライライ,750~850
1,770925160022016010,770925165613154304,SAMURAI,458652362832084994,e,レサトパルト,750〜900
1,770925705318891520,770925709094813718,抹茶ですよ,551525921660731396,d,オブシダンワイバーン,餅もっち250
1,770929998772305920,770930002900287520,Canon,385069644052168715,b,ライライ,800
1,770930640711057410,770930645307359242,Canon,385069644052168715,c,オークチーフ,1000
