凸予定シート,,,,,,,
完了,送信者のメッセージid,キャルのメッセージid,メンバー,プレイヤーid,ボス番号,ボス名,メッセージ
1,771101125654872066,771101130741645372,smicle(スマイル),420084355105423367,d,オブシダンワイバーン,700 魔法
1,771101168302293005,771101199751053312,ゼロ(せらの),661558311287652354,d,オブシダンワイバーン,950~1100
1,771101277462855690,771101315958964254,しろはのぱんつ,562247481413468180,b,ライライ,1000
1,771101360569188373,771101393653071923,しろはのぱんつ,562247481413468180,c,オークチーフ,1300
1,771101861527683083,771101866557571105,smicle(スマイル),420084355105423367,b,ライライ,900 物理
1,771101975898882078,771101982101340210,ゼロ(せらの),661558311287652354,a,ゴブリングレート,850~950
1,771102049718501426,771102054806323240,ゼロ(せらの),661558311287652354,b,ライライ,850~950
1,771104439830446093,771104443797602325,smicle(スマイル),420084355105423367,a,ゴブリングレート,800~900
1,771148244154581052,771148246587277332,smicle(スマイル),420084355105423367,b,ライライ,900
1,771151803609251850,771151806335549470,EnNE4,388955796454506500,a,ゴブリングレート,700 持ち越し
1,771152741149311037,771152743179485184,アキラ,486045349211799552,c,オークチーフ,1000
1,771163276963741696,771163280075915265,しろはのぱんつ,562247481413468180,c,オークチーフ,1000
1,771176668865495040,771176672967262248,かえで,342555706244857882,e,レサトパルト,800
1,771188919991533608,771188924075868202,EnNE4,388955796454506500,b,ライライ,1000
1,771189443645538324,771189447663812649,いもちゃ,189264376388255744,b,ライライ,950付近
1,771192880068821033,771192885071577088,かえで,342555706244857882,a,ゴブリングレート,1100
1,771193045554561104,771193049727631382,かえで,342555706244857882,b,ライライ,1000
1,771198464268566549,771198468542562304,Canon,385069644052168715,d,オブシダンワイバーン,オブシダンワイバーン
1,771199277640056842,771199282106597396,EnNE4,388955796454506500,d,オブシダンワイバーン,600
1,771200210033442816,771200214190784522,いもちゃ,189264376388255744,d,オブシダンワイバーン,700 魔法
1,771203131899379724,771203136253460500,みお,283219480601952258,e,レサトパルト,1500にゃる
1,771203763969064980,771203766933258273,あお,257537511868465153,a,ゴブリングレート,1400 物理
1,771213045321957417,771213049616400395,SAMURAI,458652362832084994,e,レサトパルト,ニャル 900 ほぼオート
1,771213533689806869,771213537795637269,SAMURAI,458652362832084994,b,ライライ,800
1,771220562528960523,771220568732598282,かえで,342555706244857882,a,ゴブリングレート,1100 持ち越し
1,771223397593907220,771223402450649118,ゼロ(せらの),661558311287652354,b,ライライ,持ち越し 150
1,771236569277267968,771236573576429598,ぴかち,500590872048697344,d,オブシダンワイバーン,1000
1,771239252855226369,771239257280872508,しろはのぱんつ,562247481413468180,c,オークチーフ,持ち越し950
1,771241411618013215,771241414776062012,jun,474418827250106371,d,オブシダンワイバーン,持ち越し600~650(クリ率で変わる)
1,771244266797400064,771244270338179073,アキラ,486045349211799552,d,オブシダンワイバーン,持ち越し 500
1,771273346758737940,771273352714780692,みお,283219480601952258,c,オークチーフ,1000物理
1,771277056721158225,771277060197974017,おのか,658087140642783252,b,ライライ,1000くらい
1,771288536019501086,771288539903426560,みお,283219480601952258,d,オブシダンワイバーン,1000-1200(TLズレ次第)
1,771289049843105793,771289052552888330,たかや@基本フルオート希望,322226212464230400,e,レサトパルト,900 ニャルセミオート
1,771289120583712818,771289123066478602,たかや@基本フルオート希望,322226212464230400,a,ゴブリングレート,1200
1,771289930080583691,771289932961808384,ゼロ(せらの),661558311287652354,e,レサトパルト,持ち越し 110~150
1,771303413388541973,771303416337006603,たかや@基本フルオート希望,322226212464230400,a,ゴブリングレート,持ち越し1:01
1,771304164663099392,771304167171948544,ぴかち,500590872048697344,e,レサトパルト,1500ニャル
1,771312547961765908,771312551106445322,みお,283219480601952258,c,オークチーフ,持越し500万弱
1,771321081905807361,771321086758486046,ぴかち,500590872048697344,c,オークチーフ,1000
1,771321754685407232,771321757483008011,おあり,324961936292708354,b,ライライ,900
1,771325922606710785,771325926264537129,おあり,324961936292708354,e,レサトパルト,1000
1,771326736302473227,771326741045313536,おあり,324961936292708354,e,レサトパルト,1000ニャル
1,771331992355864596,771331995056865290,うさまる,652747597739589632,e,レサトパルト,900(800)~ ニャル
1,771332028661891093,771332031015026699,sakadaka,538639387471249409,d,オブシダンワイバーン,1000前後 フル持ち越し
1,771332102514933790,771332110291959819,うさまる,652747597739589632,c,オークチーフ,1300 物理
1,771332307809861652,771332310892150795,うさまる,652747597739589632,b,ライライ,900~ 物理
1,771332390248382474,771332392744386630,ジャハド,661543389581279242,c,オークチーフ,1000にゃる
1,771332701537173525,771332704259145748,ジャハド,661543389581279242,e,レサトパルト,700~800物理
1,771332817455677460,771332821159641099,ジャハド,661543389581279242,b,ライライ,800物理
1,771342203066384394,771342206186815498,抹茶ですよ,551525921660731396,a,ゴブリングレート,餅650
1,771342242144059403,771342244560371712,さいとう,340675991301128192,e,レサトパルト,1000ニャ
1,771342581686337546,771342585217286154,さいとう,340675991301128192,c,オークチーフ,900
1,771343383057793034,771343386346651658,りん,703857608053882972,c,オークチーフ,1200 物理
1,771343476302413835,771343479238426624,りん,703857608053882972,e,レサトパルト,1000 ニャ
1,771344693697970226,771344697146605579,かえで,342555706244857882,e,レサトパルト,持ち越し700
1,771345365009301535,771345368025006100,さいとう,340675991301128192,d,オブシダンワイバーン,900
1,771347906816507926,771347909341478932,ハヤテ,362435337555017728,d,オブシダンワイバーン,1100
1,771347950273298433,771347952639803402,うさまる,652747597739589632,c,オークチーフ,1300
1,771347962894352415,771347966425301002,ユッシー,614440140173213707,c,オークチーフ,1100
1,771348171217567755,771348173716979772,ユッシー,614440140173213707,b,ライライ,800
1,771349930999808020,771349934603501578,シルバー,646680124837855233,b,ライライ,1000
1,771349938020941864,771349943616667688,さいとう,340675991301128192,a,ゴブリングレート,1100(ライライとセットなら可
