凸予約シート,,,,,,,
完了,送信者のメッセージid,キャルのメッセージid,メンバー,ボス番号,ボス名,予想ダメージ,備考
1,758782058628644924,758782067424231454,smicle(スマイル),e,グラットン,今考えてる,
1,758796920218058772,758796928195625020,いもちゃ,a,ゴブリングレート,ワンパン,
1,758797019031797840,758797026019377183,いもちゃ,b,ライライ,ゴブリンの持ち越し分でワンパン,
1,758797317997330473,758797323320557569,まざらし,c,レイスロード,ゴブリン,
1,758797413698764840,758797422293549086,まざらし,a,ゴブリングレート,ワンパン,ニャル
1,758797446796017704,758797452924551259,まざらし,d,ダークガーゴイル,ワンパン,
1,758807477625290762,758807484114403379,SAMURAI,a,ゴブリングレート,倒す,
1,758807645904961587,758807651865198614,SAMURAI,b,ライライ,持ち越し倒す,
1,758807976600535050,758807982963818497,水乃宮,e,グラットン,フ,ル
1,758824733818486796,758824741267308564,smicle(スマイル),d,ダークガーゴイル,ダークガーゴイル,ワンパン
1,758840903333838858,758840910749368330,smicle(スマイル),d,ダークガーゴイル,ワンパン,持ち越し
1,758843336316157992,758843343014461441,りゅーせん,a,ゴブリングレート,ワンパン,持ち越し
1,758843395472621608,758843402682236968,りゅーせん,b,ライライ,持ち越しでワンパン,
1,758846607038611535,758846615023779891,smicle(スマイル),a,ゴブリングレート,ワンパン,
1,758846645793718292,758846652089106452,smicle(スマイル),b,ライライ,ワンパン,持ち越し
1,758847131531870268,758847138229780502,ゼロ(せらの),e,グラットン,1000,
1,758864860250767392,758864867946921984,たかや@基本フルオート希望,e,グラットン,1350,物理
1,758880509224288287,758880516161404988,Canon,c,レイスロード,1000,魔法
1,758883308599377932,758883316283211796,りゅーせん,a,ゴブリングレート,ワンパン,物理
1,758883379034456094,758883385191301181,りゅーせん,b,ライライ,持ち越しでワンパン,物理
1,758889850409189396,758889856767361074,Canon,e,グラットン,物理,1200
1,758898215600128030,758898221829062657,ジャハド,e,グラットン,1200,物理
1,758901542513934336,758901550205763604,まろ,e,グラットン,持ち越し,850くらい
1,758909745695817758,758909752410505217,うりころ,d,ダークガーゴイル,持越し,ニャル失敗350
1,758921727106613258,758921733704646658,まろ,c,レイスロード,持ち越し,ニャル
1,758925578317070337,758925586038259722,むーん,d,ダークガーゴイル,ダークガーゴイル,ワンパン
1,759008023816962089,759008031232753695,れい,a,ゴブリングレート,,ワンパン
1,759008330365534246,759008336258793502,うりころ,b,ライライ,,ワンパン
1,759009297690132493,759009303309975573,むーん,e,グラットン,700,物理
1,759022282382508032,759022288837935146,やさい,d,ダークガーゴイル,ワンパン,ニャル
1,759022785858240552,759022792162672700,やさい,a,ゴブリングレート,ゴブリンライライワンパン,物理
1,759027678078173195,759027684591665192,まざらし,d,ダークガーゴイル,ワンパン,ニャル
1,759027979954683924,759027986262786068,れい,e,グラットン,1000,物理
1,759031401692790785,759031408059613205,みみな(プリンセス),c,レイスロード,ワンパン,ニャル
1,759033948323446814,759033954103459870,あゔぁろん,b,ライライ,ワンパン,物理
1,759034227387400254,759034233469141055,まっち,e,グラットン,1000-1100,物理
1,759039556493508658,759039562826645594,sakadaka,c,レイスロード,ワンパン,ニャル
1,759039951907848232,759039958161424495,あゔぁろん,a,ゴブリングレート,ワンパン,物理
1,759045710984904765,759045717372174386,むーん,b,ライライ,710,物理
1,759051675561492492,759051681982971925,あゔぁろん,b,ライライ,ワンパン,
1,759052637722116134,759052645771378698,ハヤテ,d,ダークガーゴイル,1400↑,
1,759054547019628545,759054556717645856,まっち,d,ダークガーゴイル,1400ーワンパン,
1,759056071498530836,759056078192508989,なもで,a,ゴブリングレート,ワンパン,
1,759058519542202438,759058528190332929,ふみと,e,グラットン,1100~,
1,759065397524824084,759065405229629441,ふみと,b,ライライ,ワンパン,
1,759067469297221663,759067476985643088,まっち,c,レイスロード,ワンパン,
1,759070946232762420,759070953572794408,うりころ,e,グラットン,1000,物理
1,759071050255695903,759071058400641044,あゔぁろん,e,グラットン,1000,物理
1,759071388568125482,759071397724815452,あんこうもち,a,ゴブリングレート,ワンパン,
1,759073457266229268,759073464492884058,なもで,d,ダークガーゴイル,持ち越し分も吐いて殺せるはず,
1,759075097897861171,759075105409073192,きむら,c,レイスロード,ワンパン,
1,759078641371185152,759078648748703755,名無し(りえりー),e,グラットン,1000くらい？,
1,759081343845138563,759081351184908339,ユッシー,b,ライライ,,ワンパン
1,759083030529704019,759083038104616961,ふみと,e,グラットン,380,持ち越し物理
1,759083155851444255,759083162923040819,名無し(りえりー),a,ゴブリングレート,ワンパン,
1,759083596501352468,759083602293161984,ひのきのぼう,e,グラットン,物理,750
1,759084908102287450,759084915668025394,水乃宮,c,レイスロード,ワンパン,魔法
1,759085562422100041,759085569836974090,名無し(りえりー),b,ライライ,ゴブから持ち越しワンパン,
1,759086163184058378,759086171220738089,あんこうもち,e,グラットン,持ち越し物理,70～100(17週目)
1,759086656354910218,759086664403386369,あゔぁろん,e,グラットン,持ち越し,
1,759090458390823013,759090465986707507,ユッシー,b,ライライ,200,持ち越し
1,759090532835524679,759090539424907346,なもで,a,ゴブリングレート,次次週,ワンパン
1,759093812621869107,759093819911569458,ふみと,c,レイスロード,ワンパン,
1,759096618896195644,759096627079807017,あんこうもち,d,ダークガーゴイル,200～300万残し,
1,759098456072781845,759098463865667634,あゔぁろん,d,ダークガーゴイル,150,
1,759098616429412422,759098624046530600,ユッシー,c,レイスロード,ワンパン,
1,759099207297925140,759099215238004737,sakadaka,e,グラットン,880,持ち越しと2凸目
1,759107001883557928,759107010020245577,名無し(りえりー),d,ダークガーゴイル,ワンパンできない,
1,759115957083177001,759115964452569088,ハヤテ,e,グラットン,1100万,
1,759120320627474432,759120328101724241,ふみと,a,ゴブリングレート,ワンパン,
1,759123208263041065,759123216421224478,sakadaka,c,レイスロード,920,物理
1,759124805806456832,759124813272317993,ふみと,d,ダークガーゴイル,900,
