凸予約シート,,,,,,,
完了,送信者のメッセージid,キャルのメッセージid,メンバー,ボス番号,ボス名,予想ダメージ,備考
1,759873122131247224,759873126531203123,smicle(スマイル),e,グラットン,800,
1,759873385596452915,759873390793850940,SAMURAI,a,ゴブリングレート,800,
1,759873592120049725,759873596159688736,SAMURAI,c,レイスロード,1000,
1,759873679642853386,759873683715391498,SAMURAI,d,ダークガーゴイル,600,
1,759877764479451176,759877768438874132,smicle(スマイル),b,ライライ,800,
1,759877781097152544,759877785970802738,水乃宮,b,ライライ,800,
1,759877923925655564,759877928485388318,ゼロ(せらの),a,ゴブリングレート,700~800,
1,759878023666335756,759878028674334731,ひのきのぼう,c,レイスロード,1300,ニャル
1,759878481684987964,759878486168567819,ゼロ(せらの),d,ダークガーゴイル,800~900,ダークガーゴイル
1,759880168842985472,759880173863698444,smicle(スマイル),e,グラットン,800,フル持ち越し
1,759881813123792927,759881818509017178,ユッシー,a,ゴブリングレート,1000,
1,759885108353957899,759885114288767037,ひのきのぼう,a,ゴブリングレート,フルオート890,
1,759920930021179397,759920935653867520,まっち,d,ダークガーゴイル,1100-1200,
1,759926093321994250,759926099110526986,ゼロ(せらの),c,レイスロード,950〜1100,
1,759926898394136576,759926903053221918,Canon,a,ゴブリングレート,1100,
1,759927755076534292,759927759106736168,まっち,e,グラットン,900-1000,
1,759942102388965426,759942108244607006,たかや@基本フルオート希望,d,ダークガーゴイル,持ち越し,
1,759952560080683048,759952565608644639,Canon,a,ゴブリングレート,450,
1,759953025221132299,759953030702694470,ジャハド,e,グラットン,300,持ち越し
1,759969609717252136,759969614746091571,りゅーせん,c,レイスロード,1400,ニャル
1,759969702520291338,759969708429803541,きむら,c,レイスロード,1300,ニャル
1,759969832094793781,759969836532236289,きむら,c,レイスロード,1100,ニャル
1,759970911691735060,759970918537232435,りゅーせん,b,ライライ,300,物理
1,759971618083962910,759971622773194793,たかや@基本フルオート希望,e,グラットン,1000,物理
1,759971651202187305,759971655375781898,たかや@基本フルオート希望,a,ゴブリングレート,1200,物理
1,759985024522256386,759985030100418590,ジャハド,c,レイスロード,10~1200ニャル,
1,759988139941953586,759988144266543125,いもちゃ,a,ゴブリングレート,800,他二人に合わせて端数持ちます
1,760013646834303006,760013652128038912,きむら,d,ダークガーゴイル,900‐1000,
1,760020338033033216,760020342340321291,Canon,b,ライライ,持ち越し,800
1,760035266269675533,760035270245613600,まっち,a,ゴブリングレート,,900
1,760044646855868457,760044650982539325,みみな(プリンセス),c,レイスロード,ワンパン(願望),
1,760063668720238592,760063672956485643,うりころ,d,ダークガーゴイル,800~1000,ニャル
1,760067330629304331,760067335670202368,やさい,e,グラットン,1000,
1,760067353538592768,760067357535633409,やさい,b,ライライ,900,
1,760067390309924875,760067394344845323,やさい,c,レイスロード,1500-2000,
1,760073299676889129,760073303985225748,りゅーせん,e,グラットン,700一応,
1,760078733041598525,760078737264869397,smicle(スマイル),b,ライライ,800-900,
1,760083711415812127,760083715296198687,いせ,c,レイスロード,1300-1400,ニャル
1,760084392734752808,760084397105217566,あんこうもち,b,ライライ,700,
1,760086822016647188,760086826018013225,あゔぁろん,e,グラットン,900,
1,760087166431789056,760087170521235487,あんこうもち,c,レイスロード,1000～1200,
1,760095833760464907,760095838453628958,ユッシー,c,レイスロード,1500,
1,760096048373956638,760096052266663946,いもちゃ,c,レイスロード,800,魔法
1,760102474802528256,760102478535458896,うりころ,a,ゴブリングレート,900～1000,
1,760111040771391488,760111047615971348,なもで,a,ゴブリングレート,800,
1,760111147751309323,760111152037888021,なもで,c,レイスロード,800~950(ニャルのデレ具合で変動,
1,760111229837508639,760111233742536735,なもで,e,グラットン,400,
1,760111359647809616,760111363212181515,うりころ,a,ゴブリングレート,900,
1,760117082561577011,760117088533610516,いせ,c,レイスロード,1300-1500,持ち越し分
1,760120894885593108,760120899084615710,sakadaka,d,ダークガーゴイル,1000-1200,ニャル
1,760126163883393065,760126171756363786,ショウ,b,ライライ,900,
1,760129353413296130,760129359029207080,ふみと,b,ライライ,950くらい,
1,760129804610699315,760129808762929182,いせ,a,ゴブリングレート,物理,1000
1,760131138269610015,760131143373946910,みみな(プリンセス),a,ゴブリングレート,1400万,
1,760131292993552425,760131297708081162,うさまる,d,ダークガーゴイル,1000にゃる,
1,760134883984015380,760134891505057813,ハヤテ,e,グラットン,1000万,
1,760135284473331813,760135292190720040,れい,e,グラットン,900,
1,760138520643239986,760138529681440789,ふみと,d,ダークガーゴイル,1000万,
1,760139097548390450,760139111460765757,ジャハド,a,ゴブリングレート,900,
,760141081949765663,760141089952235561,れい,b,ライライ,900,
1,760145292703432764,760145300811022336,まろ,d,ダークガーゴイル,1000~1200,
1,760146053357633536,760146060940541963,いもちゃ,a,ゴブリングレート,500,持ち越し
1,760147053656539167,760147059948650547,ふみと,a,ゴブリングレート,900,
1,760148880976510986,760148890082344960,sakadaka,b,ライライ,800-1000,
1,760148922869088277,760148930532343848,まざらし,b,ライライ,900,
1,760149278672027678,760149286284820512,ふみと,b,ライライ,950,
1,760152829574250566,760152837689966653,名無し(りえりー),e,グラットン,1000,
1,760153882512457749,760153889633730581,名無し(りえりー),b,ライライ,700,
1,760153987227451433,760153994944315412,名無し(りえりー),c,レイスロード,300~1500,
1,760165894700924938,760165901848543232,ユッシー,c,レイスロード,500,持ち越し
1,760172500314751067,760172508057042984,まざらし,d,ダークガーゴイル,1000,
1,760173943746461779,760173951720226886,まざらし,d,ダークガーゴイル,1000,レイスも可、ニャル
,760174189830471781,760174196923301919,まろ,d,ダークガーゴイル,余り物理,600
