凸予約シート,,,,,,,
完了,送信者のメッセージid,キャルのメッセージid,メンバー,ボス番号,ボス名,予想ダメージ,備考
1,760228391180959775,760228398563590194,きむら,a,ゴブリングレート,900,
1,760228430809137174,760228436039303220,smicle(スマイル),b,ライライ,800,
1,760228456263843860,760228461675151390,smicle(スマイル),c,レイスロード,1000,
1,760228523548999691,760228528032841820,smicle(スマイル),e,グラットン,700,
1,760228538531053609,760228543048712236,水乃宮,b,ライライ,900,
1,760228543929122828,760228550279561227,きむら,c,レイスロード,1000,
1,760228594524880912,760228599269031937,水乃宮,d,ダークガーゴイル,1100,
1,760228620072648785,760228624191324192,SAMURAI,a,ゴブリングレート,600,
1,760228679446954004,760228683423285290,水乃宮,e,グラットン,900,
1,760228688813359145,760228694433333318,SAMURAI,c,レイスロード,1000,
1,760228726977593395,760228732274737215,きむら,e,グラットン,700,
1,760228752633495582,760228756979449866,SAMURAI,d,ダークガーゴイル,800,
1,760228820040155168,760228829133930526,まろ,d,ダークガーゴイル,1100,
1,760234592078397481,760234598583107626,ジャハド,e,グラットン,800,
1,760238504457666633,760238510908243998,smicle(スマイル),e,グラットン,170,持ち越し
1,760240817171988500,760240821458567178,れい,a,ゴブリングレート,900,
1,760243443410272256,760243450339000351,ジャハド,d,ダークガーゴイル,1000～1200,にゃる
1,760245759533776937,760245766387531847,smicle(スマイル),e,グラットン,300,持ち越し
1,760246007950344262,760246014690459668,ゼロ(せらの),c,レイスロード,,レイス
1,760247232149848124,760247237119967283,れい,b,ライライ,800,
1,760247286407757856,760247291616690196,ゼロ(せらの),d,ダークガーゴイル,900,
1,760247360999260191,760247366200328253,水乃宮,d,ダークガーゴイル,1100,
1,760248872458256385,760248876769869874,ジャハド,a,ゴブリングレート,900,
1,760249240043126836,760249244119597117,いもちゃ,c,レイスロード,850,
1,760249457572053005,760249461959688233,いもちゃ,e,グラットン,553,
1,760249752465702972,760249756831449169,いもちゃ,a,ゴブリングレート,800,ゴブorライライ
1,760250150072483883,760250154426826783,いもちゃ,b,ライライ,750,ゴブorライライ
1,760251085386023005,760251091224363028,まろ,b,ライライ,28s持ち越し,150~170
1,760259691379949588,760259696350330946,ゼロ(せらの),d,ダークガーゴイル,８５０～９００,
1,760259926135144539,760259931122827264,ゼロ(せらの),a,ゴブリングレート,750~850,
1,760272446498144326,760272450499510294,ショウ,b,ライライ,ライライ,800～
1,760277705832005693,760277710811037737,ジャハド,b,ライライ,100,持ち越し
1,760278135886577696,760278141624909844,まろ,b,ライライ,フル餅,800~900
1,760292352476184586,760292357639503922,ショウ,e,グラットン,物理700,
1,760298481939513424,760298486137880588,ジャハド,c,レイスロード,にゃる90s持ち越し,4も可
1,760305948769517640,760305953433190401,Canon,b,ライライ,800,
1,760322770277498880,760322774077145168,Canon,a,ゴブリングレート,1100,
1,760329783573217341,760329789625729094,いせ,e,グラットン,600-700,
1,760335916366823454,760335920842670082,まっち,e,グラットン,900-1000,
1,760361658379665458,760361666750840832,たかや@基本フルオート希望,e,グラットン,1000,
1,760361691648229436,760361695897583636,たかや@基本フルオート希望,a,ゴブリングレート,1200,
1,760372745342550016,760372752699097108,あゔぁろん,a,ゴブリングレート,持ち越し,800
1,760380091150106634,760380099072884746,たかや@基本フルオート希望,d,ダークガーゴイル,950,
1,760380688598827019,760380707938893856,たかや@基本フルオート希望,e,グラットン,950（事故ったらゴブリン希望）,
1,760392714591666196,760392718735114251,まろ,e,グラットン,,
1,760392873773367304,760392879788261378,まろ,e,グラットン,物理,800~900
1,760392915859800084,760392920489656351,うりころ,d,ダークガーゴイル,900~1000,
1,760396213517811733,760396218140065823,ユッシー,a,ゴブリングレート,1000,手動
1,760397833911795722,760397837405388802,ひのきのぼう,c,レイスロード,レイス持ち越し800,
1,760406365721198592,760406370616213534,ひのきのぼう,a,ゴブリングレート,ゴブリン890万,
1,760407870415044610,760407876774002709,みみな(プリンセス),c,レイスロード,2000万,
1,760419030963585035,760419036332556351,むーん,e,グラットン,600,
1,760422056159870976,760422073788792852,あゔぁろん,d,ダークガーゴイル,1000,
1,760427451494170624,760427456917929996,sakadaka,b,ライライ,850-1000,
1,760427777635123211,760427782663569438,ユッシー,c,レイスロード,1200～1700,ニャル
1,760428771437314048,760428775560577025,いせ,a,ゴブリングレート,500,持ち越し分
1,760432705438482433,760432710119456778,うさまる,d,ダークガーゴイル,,
1,760432907247812608,760432911462957066,うさまる,d,ダークガーゴイル,端数50＋1000,
1,760434238142676992,760434242177073174,うりころ,a,ゴブリングレート,1000,
1,760436966902202380,760436971737841677,あんこうもち,b,ライライ,700～750,
1,760437123697999872,7.60437E+17,あんこうもち,e,グラットン,700~800,
1,760437577437675521,760437581497761812,むーん,e,グラットン,800,物理
1,760441672504311818,760441677495926826,あゔぁろん,b,ライライ,900,
1,760444367977578497,760444373455601664,みみな(プリンセス),a,ゴブリングレート,1200万or1400万,
1,760447716039327745,760447722082795532,まっち,a,ゴブリングレート,900-1000,
1,760455027453067284,760455031430053899,あんこうもち,b,ライライ,700~800,
1,760455646944034817,760455651113304075,ハヤテ,d,ダークガーゴイル,1000万,
1,760455732960296960,760455738651836418,sakadaka,e,グラットン,800-900,
1,760456624904470529,760456629085798452,やさい,e,グラットン,1000,
1,760456734178410518,760456738293415946,やさい,d,ダークガーゴイル,900,
1,760457816803901442,760457821132292137,あんこうもち,c,レイスロード,ニャル,1000～1200
1,760463256702681109,760463263611093013,ひのきのぼう,a,ゴブリングレート,890万,
1,760466931949633557,760466936097800222,ひのきのぼう,d,ダークガーゴイル,750万,
1,760467192071979038,760467196534587432,名無し(りえりー),e,グラットン,1000,
1,760467269900959814,760467274212573215,名無し(りえりー),b,ライライ,700,
1,760467318647029792,760467322766491658,名無し(りえりー),c,レイスロード,1000,
1,760468735210684426,760468739127771157,あゔぁろん,b,ライライ,持ち越し,300
1,760469485051707413,760469489304338433,ふみと,a,ゴブリングレート,900万,
1,760469531704688640,760469536100319252,みみな(プリンセス),b,ライライ,800万↑,
1,760471124298432542,760471128878874624,なもで,a,ゴブリングレート,740-800,
1,760471250753159218,760471255656431626,なもで,c,レイスロード,850-900,
1,760471289445482496,760471294978031687,なもで,e,グラットン,400,
1,760473174164635689,760473180699099137,ふみと,b,ライライ,,
1,760473357123977258,760473361393909780,りゅーせん,e,グラットン,750,運要素有
1,760473506155855873,760473511046545439,むーん,b,ライライ,50,持ち越し
1,760473556357480501,760473561995149362,むーん,b,ライライ,500,
