凸予約シート,,,,,,,
完了,送信者のメッセージid,キャルのメッセージid,メンバー,ボス番号,ボス名,予想ダメージ,備考
1,759505896417787944,759505903585198122,名無し(りえりー),c,レイスロード,500~1900,
1,759509102375338004,759509109903982612,smicle(スマイル),d,ダークガーゴイル,1000,ニャル
1,759513589504540746,759513597168058409,smicle(スマイル),e,グラットン,700,
1,759557008629563413,759557017542590464,ゼロ(せらの),d,ダークガーゴイル,650,
1,759566852313317386,759566857807593482,ゼロ(せらの),a,ゴブリングレート,700,
1,759580788710440970,759580798411079721,ジャハド,c,レイスロード,ニャル10〜1200,
1,759584881415422002,759584888977621062,なもで,a,ゴブリングレート,800,
1,759584914076205056,759584920430444615,なもで,c,レイスロード,850,
1,759584930660745266,759584938600562718,なもで,e,グラットン,400,
1,759611449479397426,759611454743248926,水乃宮,e,グラットン,900,
1,759612353003651112,759612358393200650,いせ,c,レイスロード,ニャル,1200
1,759615645494149120,759615650934423602,あんこうもち,c,レイスロード,,ニャル
1,759627736443650099,759627743318507560,きむら,e,グラットン,650,
1,759632219819606038,759632227381936138,ジャハド,e,グラットン,800~900,物理
1,759636834262581258,759636842155868201,あんこうもち,e,グラットン,700物理,
1,759657959038124072,759657969352441856,ジャハド,b,ライライ,650~700物理(持ち越し消化後),
1,759682386949832746,759682394911014913,ハヤテ,d,ダークガーゴイル,1200,
1,759683566312357889,759683573350400030,ゼロ(せらの),c,レイスロード,レイス,
1,759684105721479208,759684112427515914,ゼロ(せらの),c,レイスロード,950〜1000,
1,759703251221610567,759703255118512179,smicle(スマイル),c,レイスロード,700,
1,759714817589116980,759714821607915521,うさまる,e,グラットン,600~,魔法
1,759714868320010281,759714872182833172,りゅーせん,c,レイスロード,1400,
1,759717770031136778,759717774665711646,むーん,a,ゴブリングレート,970,物理
1,759722377646309408,759722381924761630,たかや@基本フルオート希望,d,ダークガーゴイル,1000,
1,759722547461357578,759722553530253332,たかや@基本フルオート希望,e,グラットン,900,
1,759727374735900692,759727379475726356,いもちゃ,b,ライライ,750,
1,759728075390058506,759728079533768745,Canon,b,ライライ,750,
1,759733197357056021,759733202322587658,うりころ,e,グラットン,700～800,
1,759736302512898059,759736307760627783,たかや@基本フルオート希望,e,グラットン,900,
1,759737065066725406,759737069378994197,たかや@基本フルオート希望,d,ダークガーゴイル,1000,
1,759737692555706368,759737696099762216,Canon,a,ゴブリングレート,1050,
1,759743555878780929,759743561641361438,れい,c,レイスロード,700,
1,759747450289913886,759747455809486848,いせ,a,ゴブリングレート,700,
1,759753623944298497,759753628642181120,名無し(りえりー),c,レイスロード,1500,
1,759754713570345011,759754717575774229,いもちゃ,b,ライライ,ライライ,持ち越し500
1,759758290568740894,759758294490415115,やさい,e,グラットン,1000,
1,759758356495335465,759758359963893791,やさい,c,レイスロード,1500,
1,759759663976939531,759759669765341184,あんこうもち,e,グラットン,持ち越し,300～350
1,759760487012761601,759760491878547496,ひのきのぼう,a,ゴブリングレート,,900
1,759764720377921576,759764725164408843,まっち,a,ゴブリングレート,900-1000,
1,759767733746663425,759767741254205460,名無し(りえりー),e,グラットン,1000,次週
1,759770778773749781,759770783416582185,Canon,c,レイスロード,1100,
1,759782666316021760,759782671274213436,りゅーせん,b,ライライ,750,
1,759782757533614131,759782761330114631,りゅーせん,e,グラットン,750,
1,759782809564479503,759782814479941642,りゅーせん,e,グラットン,700,
1,759785033006448691,759785037628964914,SAMURAI,a,ゴブリングレート,800,物理
1,759785301366931466,759785306328268890,SAMURAI,d,ダークガーゴイル,600,物理
1,759786083713810443,759786088452587540,ふみと,b,ライライ,750～800万くらい,
1,759786678499672104,759786682093797419,やさい,c,レイスロード,1500,
1,759787918935457822,759787924245577758,みみな(プリンセス),a,ゴブリングレート,1400万前後,
1,759789962668539914,759789968578314271,いもちゃ,c,レイスロード,800,
1,759791790604812301,759791795894485033,ひのきのぼう,c,レイスロード,1400,
1,759794071816110121,759794077998514217,sakadaka,e,グラットン,800,
1,759794876488351784,759794880670728202,ユッシー,a,ゴブリングレート,1000,手動
1,759795214067695637,759795220019413073,ふみと,d,ダークガーゴイル,1000万,
1,759795550051893279,759795555190439956,むーん,a,ゴブリングレート,550,物理
1,759797478101876737,759797482120019970,ひのきのぼう,d,ダークガーゴイル,持ち越し280万,
1,759797844411809832,759797849101303808,ひのきのぼう,a,ゴブリングレート,物理,650万
1,759798938046955520,759798942400512080,名無し(りえりー),b,ライライ,650,
1,759798981290098688,759798985430532117,まろ,e,グラットン,物理,800~1200
1,759801115880980481,759801121065402380,むーん,e,グラットン,600,魔法
1,759808378326745158,759808382143299606,ふみと,e,グラットン,,
1,759809514614030359,759809519886008361,まろ,d,ダークガーゴイル,がご,ニャルの頑張り次第1000~1200
1,759814227337805905,759814233265012736,りゅーせん,e,グラットン,31s,120ほど出せるかと
1,759824206527201300,759824212914339852,まろ,b,ライライ,ライ,持ち越し
