凸管理シート,,11/25,3凸人数,30,,11/26,3凸人数,28,,11/27,3凸人数,29,,11/28,3凸人数,29,,11/29,3凸人数,30,,練習日,3凸人数,0,
クランメンバー一覧,プレイヤーid,凸数,持ち越し,3凸終了,履歴,凸数,持ち越し,3凸終了,履歴,凸数,持ち越し,3凸終了,履歴,凸数,持ち越し,3凸終了,履歴,凸数,持ち越し,3凸終了,履歴,凸数,持ち越し,3凸終了,履歴
(*^◯^*)ポジ,215772416541065216,3,,1,"3,1",3,,1,2,3,,1,"3,1",3,,1,2,3,,1,2,,,,
EnNE4,388955796454506500,3,,1,"3,1",3,,1,2,3,,1,2,3,,1,"3,1",3,,1,"3,1",,,,
jun,474418827250106371,3,,1,"3,1",3,,1,2,1,,,"1,1",3,,1,2,3,,1,"3,1",,,,
sakadaka,538639387471249409,3,,1,"3,1",3,,1,1 1,3,,1,"3,1",3,,1,2,3,,1,"3,1",,,,
smicle(スマイル),420084355105423367,3,,1,2,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",,,,
いもちゃ,189264376388255744,3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,"3,1",3,,1,"3,1",,,,
うさまる,652747597739589632,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",,,,
うりころ,241564140819185664,3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,"3,1",3,,1,2,,,,
おあり,324961936292708354,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",,,,
がんすけ,614481066928898124,3,,1,"3,1",3,,1,1,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",,,,
さいとう,340675991301128192,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",,,,
そうくん,527450451411599403,3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,2,3,,1,"3,1",,,,
たかや@基本フルオート希望,322226212464230400,3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,2,3,,1,"3,1",,,,
たまちゃん,425937517259259906,3,,1,"3,1",3,,1,2,3,,1,"3,1",3,,1,"3,1",3,,1,2,,,,
つくよみっ！！,485132079517007873,3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,"3,1",3,,1,"3,1",,,,
まろ,436517654535340032,3,,1,"3,1",3,,1,2,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",,,,
みみな,603834473041362944,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,"3,1",,,,
ゆうちゃこ,453557021288169481,3,,1,"3,1",3,,1,2,3,,1,2,3,1,,"3,1",3,,1,"3,1",,,,
りん,703857608053882972,3,,1,"3,1",3,,1,2,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",,,,
エーイチ,580724415210323968,3,,1,"3,1",2,,,,3,,1,"3,1",3,,1,"3,1",3,,1,2,,,,
ジャハド,661543389581279242,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,"3,1",,,,
ツナ,750706130774392852,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",,,,
ハヤテ,362435337555017728,3,,1,"3,1",2,,,"2,1",3,,1,"3,1",3,,1,2,3,,1,"3,1",,,,
ユッシー,614440140173213707,3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,"3,1",3,,1,"3,1",,,,
リース,220132395393875968,3,,1,"3,1",3,,1,2,3,,1,"3,1",3,,1,"3,1",3,,1,2,,,,
厚着プリンセス下着冷凍まざらし,341239349997993984,3,,1,"3,1",3,,1,2,3,,1,"3,1",3,,1,"3,1",3,,1,2,,,,
名無し(りえりー),257882449185472515,3,,1,"3,1",3,,1,"1,1",3,,1,"2,1",3,,1,"3,1",3,,1,"3,1",,,,
夏みかん,366936884334690304,3,,1,2,3,,1,2,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",,,,
抹茶ですよ,551525921660731396,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,"3,1",,,,
超絶最強Canon砲,385069644052168715,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",,,,
